"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"SMG7-AS1",0,0,0,0,0,0,0,0,0,0
"SMG8",0,0,0,0,0,0,0,0,0,0
"SMG9",0.020091742,0,0.0825,0,0.08785714,0.31657895,0,0,0,0.06526243
"SMIM1",0,0,0,0,0,0,0,0,0,0
"SMIM10",0,0,0,0,0,0,0,0,0,0
"SMIM11",0,0,0,0,0,0,0,0,0,0
"SMIM11P1",0,0,0,0,0,0,0,0,0,0
"SMIM12",0,0,0,0,0,0,0,0,0,0
"SMIM13",0,0,0,0,0,0.031210527,0,0,0,0
"SMIM14",0.15027523,0.012307692,0,0.055416666,0.18910715,0.65789473,0.12381034,0.13088652,0.29688942,0.36720994
"SMIM15",0,0,0,0,0,0,0,0,0,0
"SMIM17",0,0,0,0,0,0,0,0,0,0
"SMIM18",0,0,0,0,0,0,0,0,0,0
"SMIM19",0,0,0,0,0,0,0,0,0,0
"SMIM2",0,0,0,0,0,0,0,0,0,0
"SMIM2-AS1",0,0,0,0,0,0,0,0,0,0
"SMIM2-IT1",0,0,0,0,0,0,0,0,0,0
"SMIM20",0,0,0,0,0,0,0,0,0,0
"SMIM21",0,0,0,0,0,0,0,0,0,0
"SMIM22",0,0,0,0,0,0,0,0,0,0
"SMIM23",0,0,0,0,0,0,0,0,0,0
"SMIM24",0,0,0,0,0,0,0,0,0,0
"SMIM3",0,0,0,0,0,0,0,0,0,0
"SMIM4",0,0,0,0,0,0,0,0,0,0
"SMIM5",0,0,0,0,0,0,0,0,0,0
"SMIM6",0,0,0,0,0,0,0,0,0,0
"SMIM7",0.13183486,0.19653846,0,0.025416667,0.16767856,1.0849473,0.05142857,0.042664297,0.15739061,0.57523483
"SMIM8",0,0,0,0,0,0,0,0,0,0
"SMIM9",0,0,0,0,0,0,0,0,0,0
"SMKR1",0,0,0,0,0,0,0,0,0,0
"SMLR1",0,0,0,0,0,0,0,0,0,0
"SMN1",0,0,0,0,0,0,0,0,0,0
"SMN2",0,0,0,0,0,0,0,0,0,0
"SMNDC1",0,0,0,0,0,0,0,0,0,0
"SMNP",0,0,0,0,0,0,0,0,0,0
"SMO",0.030642202,0,0.085,0,0.27160713,0,0,0,0,0.22227901
"SMOC1",0,0,0,0,0.22053571,1.5246596,8.1021595,0,0.14930788,0
"SMOC2",0,0,0,2.9616666,0,0,0,0,0,0
"SMOX",0.9137615,0,0,0,2.2046428,0,0,0,0,0.95813537
"SMPD1",0,0,0,0,0,0,0,0,0,0
"SMPD2",0,0,0,0,0,0,0,0,0,0
"SMPD3",0,0,0,0,0,0,0,0,0,0
"SMPD4",0.08229358,0.04307692,0,0,0.21303572,0.43357894,0.04225862,0,0.14733492,0.15744475
"SMPD4P1",0,0,0,0,0,0,0,0,0,0
"SMPD4P2",0,0,0,0,0,0,0,0,0,0
"SMPD5",0,0,0,0,0,0,0,0,0,0
